MLII,V5
-0.335,-0.285
-0.35,-0.295
-0.36,-0.295
-0.36,-0.3
-0.36,-0.29
-0.365,-0.3
-0.36,-0.315
-0.37,-0.315
-0.385,-0.315
-0.37,-0.315
-0.36,-0.31
-0.355,-0.31
-0.36,-0.325
-0.375,-0.33
-0.375,-0.325
-0.365,-0.315
-0.365,-0.305
-0.36,-0.305
-0.36,-0.29
-0.365,-0.29
-0.37,-0.275
-0.355,-0.27
-0.33,-0.245
-0.325,-0.24
-0.325,-0.25
-0.335,-0.25
-0.34,-0.235
-0.315,-0.22
-0.3,-0.195
-0.3,-0.19
-0.29,-0.19
-0.295,-0.19
-0.29,-0.18
-0.285,-0.16
-0.275,-0.145
-0.255,-0.15
-0.25,-0.16
-0.25,-0.16
-0.265,-0.155
-0.255,-0.145
-0.245,-0.14
-0.23,-0.16
-0.245,-0.15
-0.245,-0.175
-0.255,-0.17
-0.255,-0.16
-0.24,-0.16
-0.25,-0.15
-0.255,-0.155
-0.245,-0.16
-0.255,-0.17
-0.25,-0.155
-0.25,-0.155
-0.265,-0.15
-0.26,-0.165
-0.26,-0.175
-0.265,-0.165
-0.27,-0.165
-0.265,-0.16
-0.26,-0.16
-0.275,-0.18
-0.28,-0.175
-0.29,-0.185
-0.275,-0.165
-0.27,-0.15
-0.26,-0.15
-0.28,-0.17
-0.28,-0.185
-0.285,-0.195
-0.275,-0.19
-0.275,-0.19
-0.265,-0.185
-0.27,-0.19
-0.285,-0.21
-0.29,-0.195
-0.28,-0.19
-0.275,-0.18
-0.285,-0.205
-0.28,-0.215
-0.3,-0.225
-0.3,-0.21
-0.305,-0.205
-0.295,-0.195
-0.3,-0.2
-0.31,-0.195
-0.31,-0.21
-0.305,-0.215
-0.295,-0.205
-0.285,-0.185
-0.285,-0.195
-0.29,-0.195
-0.295,-0.22
-0.31,-0.22
-0.29,-0.21
-0.295,-0.215
-0.3,-0.22
-0.305,-0.22
-0.31,-0.225
-0.325,-0.21
-0.31,-0.2
-0.3,-0.21
-0.29,-0.225
-0.31,-0.23
-0.325,-0.225
-0.33,-0.22
-0.315,-0.23
-0.3,-0.21
-0.305,-0.215
-0.31,-0.215
-0.32,-0.23
-0.33,-0.215
-0.325,-0.22
-0.315,-0.205
-0.31,-0.205
-0.305,-0.21
-0.305,-0.215
-0.31,-0.225
-0.3,-0.215
-0.305,-0.215
-0.29,-0.215
-0.3,-0.225
-0.3,-0.225
-0.305,-0.225
-0.305,-0.205
-0.29,-0.195
-0.28,-0.21
-0.295,-0.21
-0.305,-0.215
-0.315,-0.235
-0.305,-0.23
-0.295,-0.22
-0.29,-0.22
-0.28,-0.23
-0.27,-0.225
-0.275,-0.23
-0.275,-0.215
-0.27,-0.195
-0.25,-0.195
-0.25,-0.19
-0.255,-0.2
-0.225,-0.195
-0.22,-0.18
-0.205,-0.17
-0.2,-0.18
-0.205,-0.175
-0.215,-0.195
-0.23,-0.195
-0.22,-0.17
-0.225,-0.175
-0.225,-0.175
-0.225,-0.18
-0.23,-0.185
-0.235,-0.185
-0.24,-0.175
-0.235,-0.175
-0.22,-0.175
-0.21,-0.19
-0.205,-0.205
-0.245,-0.2
-0.285,-0.205
-0.285,-0.205
-0.3,-0.215
-0.31,-0.215
-0.33,-0.225
-0.33,-0.215
-0.325,-0.21
-0.315,-0.2
-0.32,-0.215
-0.315,-0.225
-0.325,-0.245
-0.34,-0.245
-0.345,-0.25
-0.34,-0.225
-0.34,-0.23
-0.35,-0.235
-0.345,-0.24
-0.355,-0.235
-0.33,-0.235
-0.335,-0.22
-0.33,-0.23
-0.32,-0.24
-0.345,-0.24
-0.355,-0.245
-0.34,-0.225
-0.33,-0.225
-0.325,-0.235
-0.33,-0.25
-0.35,-0.27
-0.365,-0.28
-0.36,-0.29
-0.38,-0.3
-0.425,-0.33
-0.445,-0.36
-0.475,-0.355
-0.51,-0.305
-0.535,-0.205
-0.505,-0.08
-0.415,0.015
-0.3,0.065
-0.16,0.115
-0.015,0.19
0.235,0.3
0.49,0.41
0.72,0.495
0.875,0.485
0.94,0.36
0.905,0.105
0.755,-0.165
0.49,-0.35
0.165,-0.45
-0.11,-0.47
-0.27,-0.45
-0.39,-0.395
-0.45,-0.345
-0.475,-0.31
-0.455,-0.295
-0.425,-0.285
-0.39,-0.295
-0.39,-0.295
-0.385,-0.28
-0.39,-0.285
-0.38,-0.285
-0.38,-0.285
-0.38,-0.29
-0.395,-0.275
-0.385,-0.275
-0.385,-0.275
-0.385,-0.27
-0.375,-0.285
-0.395,-0.295
-0.41,-0.29
-0.41,-0.275
-0.4,-0.265
-0.395,-0.265
-0.39,-0.275
-0.405,-0.295
-0.395,-0.29
-0.385,-0.285
-0.375,-0.27
-0.39,-0.265
-0.39,-0.275
-0.405,-0.28
-0.41,-0.28
-0.41,-0.27
-0.39,-0.265
-0.39,-0.27
-0.395,-0.27
-0.405,-0.28
-0.415,-0.27
-0.4,-0.265
-0.41,-0.265
-0.405,-0.265
-0.41,-0.27
-0.415,-0.285
-0.41,-0.285
-0.4,-0.265
-0.4,-0.265
-0.395,-0.255
-0.39,-0.275
-0.405,-0.275
-0.41,-0.28
-0.39,-0.27
-0.39,-0.265
-0.385,-0.275
-0.385,-0.285
-0.41,-0.28
-0.405,-0.28
-0.395,-0.275
-0.39,-0.275
-0.375,-0.275
-0.39,-0.285
-0.395,-0.295
-0.41,-0.295
-0.4,-0.275
-0.39,-0.275
-0.39,-0.285
-0.385,-0.29
-0.405,-0.315
-0.415,-0.315
-0.415,-0.305
-0.4,-0.29
-0.395,-0.31
-0.405,-0.32
-0.415,-0.32
-0.42,-0.335
-0.42,-0.33
-0.41,-0.325
-0.415,-0.345
-0.425,-0.35
-0.42,-0.365
-0.435,-0.37
-0.43,-0.355
-0.43,-0.36
-0.42,-0.37
-0.43,-0.39
-0.45,-0.395
-0.455,-0.4
-0.45,-0.39
-0.435,-0.385
-0.445,-0.39
-0.45,-0.4
-0.455,-0.41
-0.47,-0.42
-0.46,-0.405
-0.455,-0.41
-0.45,-0.41
-0.455,-0.4
-0.47,-0.405
-0.475,-0.39
-0.46,-0.385
-0.45,-0.365
-0.445,-0.355
-0.44,-0.345
-0.435,-0.355
-0.44,-0.33
-0.41,-0.295
-0.395,-0.275
-0.37,-0.27
-0.365,-0.26
-0.36,-0.265
-0.365,-0.265
-0.34,-0.245
-0.325,-0.225
-0.315,-0.21
-0.32,-0.215
-0.33,-0.215
-0.33,-0.205
-0.32,-0.195
-0.31,-0.185
-0.3,-0.185
-0.3,-0.195
-0.32,-0.195
-0.32,-0.195
-0.315,-0.185
-0.305,-0.17
-0.305,-0.185
-0.295,-0.195
-0.32,-0.195
-0.33,-0.195
-0.305,-0.185
-0.31,-0.175
-0.3,-0.175
-0.3,-0.185
-0.32,-0.195
-0.325,-0.195
-0.31,-0.195
-0.305,-0.18
-0.315,-0.185
-0.305,-0.19
-0.315,-0.195
-0.315,-0.195
-0.31,-0.19
-0.295,-0.185
-0.29,-0.185
-0.305,-0.19
-0.31,-0.2
-0.32,-0.215
-0.315,-0.195
-0.3,-0.185
-0.315,-0.185
-0.315,-0.185
-0.315,-0.2
-0.33,-0.205
-0.315,-0.19
-0.32,-0.19
-0.315,-0.2
-0.325,-0.2
-0.335,-0.195
-0.34,-0.22
-0.335,-0.205
-0.335,-0.19
-0.33,-0.2
-0.325,-0.22
-0.345,-0.23
-0.35,-0.21
-0.345,-0.205
-0.335,-0.2
-0.33,-0.195
-0.33,-0.22
-0.345,-0.225
-0.345,-0.225
-0.345,-0.215
-0.32,-0.205
-0.33,-0.205
-0.335,-0.215
-0.34,-0.225
-0.355,-0.22
-0.335,-0.225
-0.33,-0.195
-0.33,-0.215
-0.335,-0.22
-0.355,-0.215
-0.36,-0.225
-0.355,-0.215
-0.35,-0.21
-0.34,-0.21
-0.345,-0.225
-0.345,-0.23
-0.345,-0.22
-0.345,-0.21
-0.33,-0.205
-0.33,-0.2
-0.335,-0.205
-0.345,-0.22
-0.35,-0.23
-0.35,-0.215
-0.34,-0.205
-0.33,-0.2
-0.345,-0.23
-0.345,-0.22
-0.355,-0.215
-0.35,-0.205
-0.34,-0.2
-0.33,-0.205
-0.34,-0.22
-0.34,-0.22
-0.34,-0.225
-0.33,-0.205
-0.335,-0.2
-0.33,-0.2
-0.335,-0.21
-0.345,-0.23
-0.345,-0.215
-0.34,-0.2
-0.33,-0.2
-0.315,-0.205
-0.295,-0.21
-0.3,-0.215
-0.295,-0.22
-0.285,-0.205
-0.275,-0.2
-0.265,-0.195
-0.265,-0.205
-0.265,-0.205
-0.255,-0.205
-0.25,-0.18
-0.24,-0.17
-0.225,-0.19
-0.215,-0.19
-0.24,-0.2
-0.245,-0.185
-0.24,-0.165
-0.245,-0.145
-0.235,-0.145
-0.245,-0.17
-0.25,-0.175
-0.275,-0.17
-0.275,-0.165
-0.265,-0.15
-0.25,-0.16
-0.225,-0.175
-0.22,-0.19
-0.23,-0.19
-0.265,-0.185
-0.27,-0.185
-0.28,-0.175
-0.285,-0.195
-0.305,-0.215
-0.32,-0.205
-0.34,-0.2
-0.33,-0.195
-0.335,-0.205
-0.335,-0.21
-0.355,-0.22
-0.37,-0.215
-0.36,-0.21
-0.345,-0.205
-0.35,-0.2
-0.355,-0.21
-0.365,-0.22
-0.375,-0.22
-0.38,-0.22
-0.37,-0.2
-0.365,-0.205
-0.365,-0.215
-0.38,-0.225
-0.385,-0.22
-0.38,-0.215
-0.375,-0.205
-0.355,-0.22
-0.37,-0.225
-0.39,-0.24
-0.405,-0.26
-0.41,-0.28
-0.435,-0.3
-0.465,-0.345
-0.49,-0.375
-0.52,-0.345
-0.555,-0.26
-0.57,-0.125
-0.525,0.025
-0.405,0.145
-0.25,0.26
-0.09,0.375
0.12,0.505
0.41,0.635
0.69,0.705
0.885,0.61
0.96,0.32
0.85,-0.045
0.52,-0.25
0.05,-0.27
-0.32,-0.24
-0.5,-0.24
-0.505,-0.25
-0.445,-0.255
-0.415,-0.245
-0.395,-0.245
-0.39,-0.245
-0.395,-0.255
-0.39,-0.26
-0.395,-0.26
-0.405,-0.27
-0.395,-0.245
-0.405,-0.245
-0.39,-0.25
-0.395,-0.265
-0.395,-0.27
-0.41,-0.27
-0.405,-0.265
-0.4,-0.26
-0.4,-0.26
-0.415,-0.27
-0.405,-0.28
-0.42,-0.28
-0.415,-0.27
-0.405,-0.255
-0.405,-0.265
-0.42,-0.28
-0.42,-0.29
-0.435,-0.275
-0.42,-0.265
-0.41,-0.255
-0.41,-0.26
-0.405,-0.26
-0.425,-0.28
-0.43,-0.28
-0.42,-0.265
-0.415,-0.26
-0.41,-0.255
-0.41,-0.26
-0.425,-0.275
-0.42,-0.27
-0.4,-0.275
-0.395,-0.265
-0.4,-0.265
-0.4,-0.27
-0.395,-0.28
-0.415,-0.285
-0.405,-0.28
-0.39,-0.255
-0.4,-0.27
-0.4,-0.28
-0.415,-0.29
-0.425,-0.29
-0.425,-0.27
-0.415,-0.27
-0.415,-0.285
-0.41,-0.3
-0.425,-0.3
-0.425,-0.3
-0.42,-0.295
-0.415,-0.275
-0.4,-0.295
-0.4,-0.3
-0.41,-0.31
-0.425,-0.31
-0.41,-0.315
-0.405,-0.31
-0.395,-0.31
-0.4,-0.335
-0.4,-0.345
-0.405,-0.355
-0.385,-0.35
-0.4,-0.345
-0.39,-0.36
-0.39,-0.37
-0.4,-0.375
-0.415,-0.385
-0.405,-0.37
-0.405,-0.37
-0.41,-0.385
-0.415,-0.4
-0.42,-0.415
-0.42,-0.405
-0.425,-0.41
-0.415,-0.39
-0.415,-0.405
-0.41,-0.41
-0.435,-0.425
-0.43,-0.42
-0.435,-0.41
-0.42,-0.405
-0.42,-0.4
-0.42,-0.4
-0.42,-0.405
-0.425,-0.385
-0.425,-0.365
-0.415,-0.345
-0.395,-0.335
-0.395,-0.325
-0.39,-0.31
-0.375,-0.295
-0.36,-0.275
-0.34,-0.255
-0.335,-0.25
-0.33,-0.24
-0.335,-0.245
-0.335,-0.23
-0.325,-0.205
-0.32,-0.2
-0.305,-0.2
-0.305,-0.205
-0.315,-0.21
-0.31,-0.22
-0.305,-0.195
-0.3,-0.19
-0.3,-0.2
-0.3,-0.2
-0.31,-0.21
-0.31,-0.2
-0.31,-0.19
-0.315,-0.175
-0.3,-0.2
-0.305,-0.205
-0.315,-0.21
-0.32,-0.2
-0.325,-0.2
-0.31,-0.18
-0.305,-0.19
-0.305,-0.19
-0.32,-0.205
-0.325,-0.205
-0.305,-0.195
-0.31,-0.185
-0.295,-0.19
-0.31,-0.19
-0.325,-0.21
-0.33,-0.21
-0.32,-0.205
-0.32,-0.205
-0.32,-0.2
-0.325,-0.215
-0.35,-0.225
-0.35,-0.21
-0.34,-0.21
-0.335,-0.21
-0.33,-0.215
-0.335,-0.225
-0.34,-0.225
-0.36,-0.23
-0.35,-0.21
-0.35,-0.21
-0.355,-0.23
-0.36,-0.25
-0.355,-0.25
-0.365,-0.245
-0.355,-0.23
-0.35,-0.215
-0.34,-0.23
-0.355,-0.24
-0.35,-0.245
-0.365,-0.245
-0.365,-0.24
-0.35,-0.215
-0.355,-0.225
-0.35,-0.24
-0.37,-0.24
-0.38,-0.245
-0.37,-0.24
-0.36,-0.23
-0.365,-0.235
-0.36,-0.24
-0.365,-0.23
-0.38,-0.25
-0.37,-0.225
-0.365,-0.215
-0.35,-0.23
-0.35,-0.24
-0.35,-0.25
-0.37,-0.265
-0.365,-0.23
-0.345,-0.22
-0.345,-0.235
-0.34,-0.225
-0.355,-0.235
-0.365,-0.235
-0.36,-0.225
-0.355,-0.225
-0.355,-0.215
-0.355,-0.225
-0.375,-0.235
-0.385,-0.23
-0.355,-0.225
-0.36,-0.225
-0.355,-0.225
-0.36,-0.225
-0.36,-0.23
-0.37,-0.23
-0.36,-0.215
-0.345,-0.21
-0.355,-0.225
-0.345,-0.24
-0.345,-0.235
-0.345,-0.24
-0.34,-0.225
-0.31,-0.215
-0.305,-0.22
-0.305,-0.22
-0.31,-0.23
-0.305,-0.23
-0.29,-0.205
-0.285,-0.2
-0.275,-0.205
-0.28,-0.195
-0.28,-0.21
-0.275,-0.205
-0.265,-0.19
-0.255,-0.185
-0.245,-0.2
-0.26,-0.195
-0.265,-0.2
-0.275,-0.19
-0.28,-0.17
-0.265,-0.14
-0.27,-0.165
-0.275,-0.165
-0.28,-0.185
-0.275,-0.18
-0.28,-0.17
-0.275,-0.15
-0.265,-0.165
-0.255,-0.18
-0.24,-0.2
-0.26,-0.21
-0.28,-0.21
-0.31,-0.185
-0.31,-0.19
-0.345,-0.2
-0.36,-0.215
-0.38,-0.22
-0.385,-0.21
-0.38,-0.195
-0.37,-0.205
-0.375,-0.22
-0.385,-0.225
-0.39,-0.23
-0.395,-0.22
-0.385,-0.21
-0.385,-0.21
-0.385,-0.23
-0.395,-0.235
-0.405,-0.23
-0.4,-0.225
-0.375,-0.215
-0.375,-0.22
-0.39,-0.22
-0.395,-0.23
-0.415,-0.24
-0.405,-0.22
-0.4,-0.225
-0.39,-0.235
-0.405,-0.25
-0.425,-0.28
-0.46,-0.305
-0.475,-0.325
-0.505,-0.345
-0.51,-0.375
-0.525,-0.415
-0.54,-0.425
-0.6,-0.385
-0.645,-0.295
-0.63,-0.18
-0.575,-0.065
-0.495,0.035
-0.385,0.13
-0.27,0.24
-0.115,0.37
0.09,0.495
0.37,0.61
0.635,0.655
0.81,0.545
0.86,0.23
0.77,-0.105
0.475,-0.28
0.065,-0.285
-0.305,-0.255
-0.5,-0.255
-0.52,-0.26
-0.475,-0.23
-0.41,-0.22
-0.39,-0.245
-0.39,-0.255
-0.4,-0.26
-0.41,-0.25
-0.405,-0.235
-0.385,-0.245
-0.39,-0.245
-0.395,-0.26
-0.405,-0.265
-0.41,-0.265
-0.405,-0.26
-0.4,-0.24
-0.39,-0.245
-0.395,-0.26
-0.41,-0.27
-0.415,-0.27
-0.41,-0.255
-0.395,-0.255
-0.405,-0.25
-0.41,-0.265
-0.405,-0.27
-0.405,-0.27
-0.41,-0.265
-0.39,-0.25
-0.385,-0.245
-0.39,-0.265
-0.395,-0.27
-0.4,-0.26
-0.4,-0.255
-0.4,-0.245
-0.395,-0.25
-0.395,-0.26
-0.405,-0.27
-0.405,-0.26
-0.4,-0.255
-0.395,-0.25
-0.385,-0.255
-0.375,-0.255
-0.385,-0.275
-0.395,-0.27
-0.39,-0.265
-0.385,-0.26
-0.375,-0.26
-0.385,-0.275
-0.395,-0.27
-0.395,-0.26
-0.385,-0.245
-0.375,-0.255
-0.375,-0.265
-0.385,-0.265
-0.395,-0.27
-0.39,-0.265
-0.39,-0.26
-0.365,-0.27
-0.375,-0.265
-0.385,-0.27
-0.395,-0.28
-0.38,-0.285
-0.385,-0.28
-0.375,-0.285
-0.38,-0.29
-0.39,-0.31
-0.38,-0.305
-0.375,-0.3
-0.375,-0.3
-0.375,-0.31
-0.375,-0.325
-0.38,-0.34
-0.39,-0.34
-0.39,-0.325
-0.365,-0.32
-0.37,-0.355
-0.375,-0.36
-0.385,-0.38
-0.39,-0.385
-0.39,-0.375
-0.375,-0.365
-0.365,-0.375
-0.385,-0.385
-0.38,-0.39
-0.39,-0.395
-0.375,-0.385
-0.375,-0.375
-0.365,-0.375
-0.37,-0.375
-0.385,-0.38
-0.395,-0.365
-0.385,-0.345
-0.385,-0.335
-0.37,-0.315
-0.365,-0.31
-0.37,-0.305
-0.375,-0.29
-0.35,-0.27
-0.335,-0.255
-0.32,-0.25
-0.315,-0.245
-0.32,-0.235
-0.325,-0.235
-0.315,-0.225
-0.295,-0.22
-0.285,-0.195
-0.3,-0.215
-0.295,-0.23
-0.285,-0.215
-0.285,-0.205
-0.28,-0.195
-0.27,-0.2
-0.28,-0.195
-0.29,-0.195
-0.295,-0.205
-0.295,-0.195
-0.29,-0.18
-0.28,-0.19
-0.29,-0.205
-0.295,-0.21
-0.31,-0.205
-0.295,-0.18
-0.285,-0.185
-0.28,-0.19
-0.275,-0.205
-0.295,-0.215
-0.305,-0.215
-0.3,-0.215
-0.295,-0.19
-0.295,-0.21
-0.285,-0.2
-0.3,-0.215
-0.305,-0.22
-0.3,-0.225
-0.295,-0.215
-0.3,-0.215
-0.305,-0.23
-0.315,-0.225
-0.31,-0.225
-0.315,-0.21
-0.295,-0.21
-0.3,-0.215
-0.31,-0.23
-0.33,-0.235
-0.34,-0.23
-0.33,-0.22
-0.32,-0.215
-0.32,-0.23
-0.315,-0.235
-0.325,-0.25
-0.335,-0.245
-0.33,-0.24
-0.315,-0.22
-0.32,-0.23
-0.32,-0.23
-0.33,-0.235
-0.345,-0.24
-0.34,-0.235
-0.335,-0.22
-0.33,-0.23
-0.335,-0.24
-0.345,-0.255
-0.35,-0.245
-0.345,-0.235
-0.34,-0.22
-0.335,-0.23
-0.335,-0.24
-0.33,-0.25
-0.335,-0.255
-0.34,-0.24
-0.335,-0.225
-0.32,-0.23
-0.34,-0.235
-0.34,-0.24
-0.35,-0.245
-0.365,-0.235
-0.36,-0.23
-0.345,-0.235
-0.345,-0.24
-0.35,-0.245
-0.35,-0.235
-0.35,-0.235
-0.34,-0.23
-0.34,-0.24
-0.345,-0.235
-0.345,-0.245
-0.38,-0.25
-0.36,-0.23
-0.36,-0.21
-0.345,-0.23
-0.345,-0.235
-0.35,-0.245
-0.355,-0.25
-0.345,-0.245
-0.33,-0.23
-0.33,-0.23
-0.335,-0.235
-0.335,-0.25
-0.34,-0.25
-0.33,-0.24
-0.32,-0.225
-0.29,-0.23
-0.29,-0.235
-0.3,-0.24
-0.305,-0.245
-0.285,-0.24
-0.28,-0.225
-0.275,-0.225
-0.28,-0.23
-0.275,-0.23
-0.27,-0.225
-0.265,-0.205
-0.25,-0.21
-0.23,-0.22
-0.245,-0.205
-0.24,-0.22
-0.255,-0.22
-0.255,-0.21
-0.245,-0.19
-0.235,-0.18
-0.255,-0.18
-0.265,-0.185
-0.26,-0.19
-0.255,-0.19
-0.27,-0.185
-0.265,-0.205
-0.28,-0.2
-0.255,-0.22
-0.25,-0.22
-0.245,-0.22
-0.265,-0.21
-0.28,-0.225
-0.3,-0.22
-0.315,-0.24
-0.325,-0.245
-0.335,-0.235
-0.345,-0.23
-0.33,-0.245
-0.335,-0.245
-0.345,-0.25
-0.36,-0.255
-0.35,-0.23
-0.34,-0.225
-0.335,-0.23
-0.345,-0.245
-0.36,-0.255
-0.365,-0.265
-0.375,-0.255
-0.37,-0.245
-0.365,-0.26
-0.365,-0.25
-0.38,-0.26
-0.375,-0.27
-0.375,-0.24
-0.365,-0.245
-0.37,-0.25
-0.36,-0.25
-0.37,-0.25
-0.38,-0.265
-0.365,-0.255
-0.36,-0.245
-0.35,-0.255
-0.355,-0.265
-0.37,-0.28
-0.385,-0.305
-0.395,-0.32
-0.43,-0.35
-0.445,-0.38
-0.485,-0.39
-0.515,-0.345
-0.565,-0.24
-0.555,-0.11
-0.475,-0.02
-0.355,0.04
-0.22,0.11
-0.055,0.22
0.185,0.35
0.475,0.44
0.705,0.395
0.82,0.155
0.78,-0.17
0.535,-0.38
0.145,-0.41
-0.2,-0.355
-0.42,-0.32
-0.5,-0.305
-0.48,-0.3
-0.45,-0.295
-0.41,-0.295
-0.4,-0.285
-0.39,-0.3
-0.39,-0.31
-0.4,-0.305
-0.405,-0.305
-0.425,-0.295
-0.425,-0.27
-0.405,-0.27
-0.395,-0.285
-0.405,-0.305
-0.405,-0.31
-0.415,-0.3
-0.405,-0.29
-0.385,-0.275
-0.39,-0.285
-0.395,-0.285
-0.395,-0.305
-0.395,-0.29
-0.395,-0.29
-0.385,-0.285
-0.39,-0.285
-0.39,-0.29
-0.4,-0.3
-0.425,-0.295
-0.41,-0.285
-0.4,-0.275
-0.395,-0.29
-0.4,-0.295
-0.405,-0.275
-0.425,-0.285
-0.415,-0.285
-0.405,-0.26
-0.405,-0.27
-0.405,-0.265
-0.41,-0.285
-0.415,-0.29
-0.405,-0.295
-0.42,-0.28
-0.405,-0.29
-0.41,-0.295
-0.41,-0.3
-0.42,-0.31
-0.415,-0.305
-0.405,-0.295
-0.395,-0.3
-0.395,-0.28
-0.395,-0.29
-0.4,-0.305
-0.395,-0.29
-0.395,-0.285
-0.405,-0.305
-0.405,-0.31
-0.42,-0.315
-0.435,-0.305
-0.415,-0.295
-0.405,-0.29
-0.395,-0.295
-0.39,-0.3
-0.415,-0.305
-0.405,-0.325
-0.405,-0.31
-0.4,-0.3
-0.395,-0.31
-0.395,-0.335
-0.405,-0.34
-0.42,-0.35
-0.415,-0.355
-0.4,-0.34
-0.395,-0.35
-0.4,-0.365
-0.405,-0.38
-0.425,-0.4
-0.425,-0.385
-0.425,-0.38
-0.42,-0.39
-0.425,-0.4
-0.45,-0.405
-0.445,-0.405
-0.45,-0.405
-0.435,-0.415
-0.445,-0.415
-0.47,-0.42
-0.455,-0.415
-0.46,-0.425
-0.44,-0.41
-0.435,-0.395
-0.425,-0.385
-0.43,-0.405
-0.445,-0.395
-0.45,-0.395
-0.445,-0.375
-0.43,-0.37
-0.42,-0.375
-0.41,-0.375
-0.425,-0.37
-0.42,-0.36
-0.405,-0.345
-0.38,-0.32
-0.37,-0.305
-0.365,-0.305
-0.365,-0.3
-0.365,-0.285
-0.345,-0.275
-0.33,-0.26
-0.315,-0.245
-0.305,-0.245
-0.305,-0.25
-0.32,-0.255
-0.31,-0.245
-0.31,-0.23
-0.305,-0.235
-0.31,-0.245
-0.315,-0.255
-0.32,-0.255
-0.315,-0.225
-0.305,-0.23
-0.305,-0.235
-0.295,-0.24
-0.31,-0.25
-0.32,-0.245
-0.31,-0.225
-0.315,-0.215
-0.295,-0.22
-0.3,-0.24
-0.305,-0.25
-0.3,-0.255
-0.285,-0.245
-0.28,-0.24
-0.29,-0.235
-0.295,-0.245
-0.305,-0.255
-0.325,-0.25
-0.305,-0.235
-0.3,-0.23
-0.3,-0.25
-0.315,-0.26
-0.325,-0.275
-0.335,-0.28
-0.325,-0.275
-0.315,-0.26
-0.32,-0.27
-0.335,-0.255
-0.33,-0.265
-0.34,-0.255
-0.325,-0.265
-0.325,-0.26
-0.32,-0.265
-0.315,-0.265
-0.335,-0.275
-0.335,-0.27
-0.345,-0.265
-0.335,-0.255
-0.325,-0.255
-0.33,-0.265
-0.315,-0.275
-0.335,-0.29
-0.33,-0.275
-0.33,-0.26
-0.33,-0.27
-0.33,-0.265
-0.335,-0.27
-0.34,-0.265
-0.33,-0.265
-0.32,-0.25
-0.315,-0.265
-0.325,-0.265
